ref;title;author;lastRunTime;totalVotes;competition;domain;dataDependency;codeDependency;awareness;modularity;configurableOptions;scalability;readability;performance;duplicateCodeElimination;total
mgmarques/houses-prices-complete-solution;houses-prices-complete-solution;mgmarques;1600;1020;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
fatmakursun/house-price-some-of-regression-models;house-price-some-of-regression-models;fatmakursun;900;1010;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
marto24/beginners-prediction-top3;beginners-prediction-top3;marto24;500;1000;House Prices;Real Estate;0;1;0;0;0;0;0;0;0;1
spscientist/a-simple-tutorial-on-exploratory-data-analysis;a-simple-tutorial-on-exploratory-data-analysis;spscientist;700;990;General Data Science;General Data Science;0;0;1;0;0;0;0;0;0;1
pavansanagapati/automated-hyperparameter-tuning;automated-hyperparameter-tuning;pavansanagapati;1400;985;Titanic;Social Science/History;0;0;1;0;0;0;0;0;0;1
gaetanlopez/how-to-make-clean-visualizations;how-to-make-clean-visualizations;gaetanlopez;400;980;Titanic;Social Science/History;0;0;1;0;0;0;0;0;0;1
agehsbarg/top-10-0-10943-stacking-mice-and-brutal-force;top-10-0-10943-stacking-mice-and-brutal-force;agehsbarg;2500;970;House Prices;Real Estate;0;0;1;0;0;0;0;0;0;1
desalegngeb/plotly-guide-customize-for-better-visualizations;plotly-guide-customize-for-better-visualizations;desalegngeb;600;965;Titanic;Social Science/History;0;0;1;0;0;0;0;0;0;1
rtatman/example-submission;example-submission;rtatman;50;960;General Data Science;General Data Science;0;0;1;0;0;0;0;0;0;1
heyrobin/house-price-prediction-beginner-s-notebook;house-price-prediction-beginner-s-notebook;heyrobin;700;950;House Prices;Real Estate;0;0;1;0;0;0;0;0;0;1
shaygu/house-prices-begginer-top-7;house-prices-begginer-top-7;shaygu;800;940;House Prices;Real Estate;0;0;1;0;0;0;0;0;0;1
darkside92/detailed-examination-for-house-price-top-10;detailed-examination-for-house-price-top-10;darkside92;1500;930;House Prices;Real Estate;0;0;1;0;0;0;0;0;0;1
shaoyingzhang/data-exploration-and-prediction-of-house-price;data-exploration-and-prediction-of-house-price;shaoyingzhang;1100;920;House Prices;Real Estate;0;0;1;0;0;0;0;0;0;1
jimthompson/ensemble-model-stacked-model-example;ensemble-model-stacked-model-example;jimthompson;900;910;House Prices;Real Estate;0;0;1;0;0;0;0;0;0;1
tentotheminus9/linear-regression-from-scratch-gradient-descent;linear-regression-from-scratch-gradient-descent;tentotheminus9;500;900;House Prices;Real Estate;0;0;1;0;0;0;0;0;0;1
chanakyavivekkapoor/house-price-prediction;house-price-prediction;chanakyavivekkapoor;700;890;House Prices;Real Estate;0;0;1;0;0;0;0;0;0;1
niteshx2/top-50-beginners-stacking-lgb-xgb;top-50-beginners-stacking-lgb-xgb;niteshx2;1000;880;House Prices;Real Estate;0;0;1;0;0;0;0;0;0;1
rajmehra03/a-complete-pandas-tutorial;a-complete-pandas-tutorial;rajmehra03;600;875;Titanic;Social Science/History;0;0;1;0;0;0;0;0;0;1
nkitgupta/feature-engineering-and-feature-selection;feature-engineering-and-feature-selection;nkitgupta;800;870;Titanic;Social Science/History;0;0;1;0;0;0;0;0;0;1
surya635/house-price-prediction;house-price-prediction;surya635;600;860;House Prices;Real Estate;0;0;1;0;0;0;0;0;0;1
wouldyoujustfocus/llama3-8b-llm20-questions-lb-750;llama3-8b-llm20-questions-lb-750;wouldyoujustfocus;4500;855;Titanic;Social Science/History;0;0;1;0;0;0;0;0;0;1
allunia/house-prices-tutorial-with-catboost;house-prices-tutorial-with-catboost;allunia;700;850;House Prices;Real Estate;0;0;1;0;0;0;0;0;0;1
carlmcbrideellis/an-introduction-to-xgboost-regression;an-introduction-to-xgboost-regression;carlmcbrideellis;500;840;House Prices;Real Estate;0;0;0;1;0;0;0;0;0;1
gcdatkin/top-10-house-price-regression-competition-nb;top-10-house-price-regression-competition-nb;gcdatkin;1200;830;House Prices;Real Estate;0;0;0;1;0;0;0;0;0;1
satishgunjal/tutorial-k-fold-cross-validation;tutorial-k-fold-cross-validation;satishgunjal;400;825;Titanic;Social Science/History;0;0;0;1;0;0;0;0;0;1
kareem3egm/learn-machine-learning-faster-1;learn-machine-learning-faster-1;kareem3egm;300;820;Titanic;Social Science/History;0;0;0;1;0;0;0;0;0;1
vjgupta/reach-top-10-with-simple-model-on-housing-prices;reach-top-10-with-simple-model-on-housing-prices;vjgupta;800;810;House Prices;Real Estate;0;0;0;1;0;0;0;0;0;1
poonaml/house-prices-data-exploration-and-visualisation;house-prices-data-exploration-and-visualisation;poonaml;1000;800;House Prices;Real Estate;0;0;0;1;0;0;0;0;0;1
timolee/a-home-for-pandas-and-sklearn-beginner-how-tos;a-home-for-pandas-and-sklearn-beginner-how-tos;timolee;600;790;House Prices;Real Estate;0;0;0;1;0;0;0;0;0;1
miguelangelnieto/pca-and-regression;pca-and-regression;miguelangelnieto;500;780;House Prices;Real Estate;0;0;0;1;0;0;0;0;0;1
janiobachmann/house-prices-useful-regression-techniques;house-prices-useful-regression-techniques;janiobachmann;900;770;House Prices;Real Estate;0;0;0;1;0;0;0;0;0;1
frtgnn/ml-101-beginner-s-stop-xgb-lgbm-blend;ml-101-beginner-s-stop-xgb-lgbm-blend;frtgnn;800;760;House Prices;Real Estate;0;0;0;1;0;0;0;0;0;1
ohseokkim/house-price-all-about-house-price;house-price-all-about-house-price;ohseokkim;1200;750;House Prices;Real Estate;0;0;0;0;1;0;0;0;0;1
diegosiebra/neural-network-model-for-house-prices-keras;neural-network-model-for-house-prices-keras;diegosiebra;900;740;House Prices;Real Estate;0;0;0;0;1;0;0;0;0;1
bextuychiev/model-explainability-with-shap-only-guide-u-need;model-explainability-with-shap-only-guide-u-need;bextuychiev;1100;735;Titanic;Social Science/History;0;0;0;0;1;0;0;0;0;1
marianadeem755/house-price-prediction-ml-models-deepneuralnetwork;house-price-prediction-ml-models-deepneuralnetwork;marianadeem755;1300;730;House Prices;Real Estate;0;0;0;0;1;0;0;0;0;1
serkanp/house-prices-advanced-regression-techniques;house-prices-advanced-regression-techniques;serkanp;1000;720;House Prices;Real Estate;0;0;0;0;1;0;0;0;0;1
gomes555/xgboost-bayes-opt-with-tidymodels;xgboost-bayes-opt-with-tidymodels;gomes555;1500;710;House Prices;Real Estate;0;0;0;0;1;0;0;0;0;1
katotaka/kaggle-prediction-house-prices;kaggle-prediction-house-prices;katotaka;600;700;House Prices;Real Estate;0;0;0;0;1;0;0;0;0;1
rbyron/simple-linear-regression-models;simple-linear-regression-models;rbyron;400;690;House Prices;Real Estate;0;0;0;0;1;0;0;0;0;1
adamml/how-to-be-in-top-10-for-beginner;how-to-be-in-top-10-for-beginner;adamml;800;680;House Prices;Real Estate;0;0;0;0;0;1;0;0;0;1
pablocastilla/predict-house-prices-with-xgboost-regression;predict-house-prices-with-xgboost-regression;pablocastilla;700;670;House Prices;Real Estate;0;0;0;0;0;1;0;0;0;1
tahmidmir/house-prices-advanced-regression-techniques;house-prices-advanced-regression-techniques;tahmidmir;900;660;House Prices;Real Estate;0;0;0;0;0;0;1;0;0;1
alaasedeeq/object-oriented-programming-for-data-science;object-oriented-programming-for-data-science;alaasedeeq;500;650;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
debarshichanda/handling-missing-values;handling-missing-values;debarshichanda;300;640;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
paultimothymooney/get-your-model-ready-to-submit;get-your-model-ready-to-submit;paultimothymooney;100;630;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
itslek/blend-stack-lr-gb-0-10649-house-prices-v57;blend-stack-lr-gb-0-10649-house-prices-v57;itslek;2000;620;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
pavansanagapati/tableau-intro-use-cases;tableau-intro-use-cases;pavansanagapati;400;615;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
adachowicz/house-prices-random-forest-regression-analysis;house-prices-random-forest-regression-analysis;adachowicz;800;610;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
jack89roberts/top-7-using-elasticnet-with-interactions;top-7-using-elasticnet-with-interactions;jack89roberts;1100;600;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
agileteam/house-prices-starter-xgb;house-prices-starter-xgb;agileteam;300;10;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
carlmcbrideellis/what-is-adversarial-validation;what-is-adversarial-validation;carlmcbrideellis;600;595;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
pavansanagapati/pandas-bokeh-visualization-tutorial;pandas-bokeh-visualization-tutorial;pavansanagapati;500;590;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
arunkumarramanan/tensorflow-tutorial-and-housing-price-prediction;tensorflow-tutorial-and-housing-price-prediction;arunkumarramanan;1000;580;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
datajameson/advance-regression-house-price-prediction-top-2;advance-regression-house-price-prediction-top-2;datajameson;1800;570;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
jiashenliu/updated-xgboost-with-parameter-tuning;updated-xgboost-with-parameter-tuning;jiashenliu;1300;560;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
emmanueldjegou/house-prices-advanced-regression-techniques;house-prices-advanced-regression-techniques;emmanueldjegou;1100;550;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
laurenstc/top-2-of-leaderboard-advanced-fe;top-2-of-leaderboard-advanced-fe;laurenstc;2200;540;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
satishgunjal/ensemble-learning-bagging-boosting-stacking;ensemble-learning-bagging-boosting-stacking;satishgunjal;900;530;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
kishkun/house-pricing-analysis-model;house-pricing-analysis-model;kishkun;800;520;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
rebeccaysteboe/regression-algorithms-compared;regression-algorithms-compared;rebeccaysteboe;1000;510;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
jongbeompark/house-prices-with-pytorch;house-prices-with-pytorch;jongbeompark;900;500;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
pradeeptripathi/predicting-house-prices-using-r;predicting-house-prices-using-r;pradeeptripathi;700;490;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
alfathterry/house-price-prediction;house-price-prediction;alfathterry;600;480;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
kartushovdanil/econometrics-is-all-you-need;econometrics-is-all-you-need;kartushovdanil;800;475;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
blighpark/t2-4-house-prices-regression;t2-4-house-prices-regression;blighpark;150;8;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
mekhdigakhramanian/first-place-top-1-with-leakage;first-place-top-1-with-leakage;mekhdigakhramanian;3000;470;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
odaymourad/detailed-full-solution-step-by-step-top-3;detailed-full-solution-step-by-step-top-3;odaymourad;2000;460;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ravi20076/houseprice-bootstrappingensembles-pipelines;houseprice-bootstrappingensembles-pipelines;ravi20076;1400;450;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
hardikgarg03/house-price-random-forest-linear-regression;house-price-random-forest-linear-regression;hardikgarg03;900;440;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
lovroselic/houseprices-ls;houseprices-ls;lovroselic;500;430;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
vanguarde/study-series-uplift-modeling;study-series-uplift-modeling;vanguarde;1200;425;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
couyang/hybrid-svm-benchmark-approach-0-11180-lb-top-2;hybrid-svm-benchmark-approach-0-11180-lb-top-2;couyang;2500;420;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
alaasedeeq/house-price-prediction-top-8;house-price-prediction-top-8;alaasedeeq;1100;410;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
bextuychiev/7-coolest-packages-top-kagglers-are-using;7-coolest-packages-top-kagglers-are-using;bextuychiev;600;405;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
carlmcbrideellis/tabnet-a-very-simple-regression-example;tabnet-a-very-simple-regression-example;carlmcbrideellis;800;400;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
code1110/houseprice-data-cleaning-visualization;houseprice-data-cleaning-visualization;code1110;900;390;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
klyusba/lasso-model-for-regression-problem;lasso-model-for-regression-problem;klyusba;600;380;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
eisgandar/house-prices-predictions-jump-top-1;house-prices-predictions-jump-top-1;eisgandar;2800;370;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
fedesoriano/house-prices-what-s-a-good-score;house-prices-what-s-a-good-score;fedesoriano;500;360;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
andreshg/house-price-eda-and-prediction;house-price-eda-and-prediction;andreshg;1000;350;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
carlmcbrideellis/feature-selection-using-the-boruta-shap-package;feature-selection-using-the-boruta-shap-package;carlmcbrideellis;800;340;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
samanfatima7/house-prediction-adv-regression-v1-r2-0-9337;house-prediction-adv-regression-v1-r2-0-9337;samanfatima7;1200;330;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
miguelfzzz/house-price-prediction-lasso-ridge-and-more;house-price-prediction-lasso-ridge-and-more;miguelfzzz;900;320;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
siddheshpujari/eda-and-prediction-of-house-price;eda-and-prediction-of-house-price;siddheshpujari;1100;310;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
wkevin/house-prices;house-prices;wkevin;400;300;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
fiorenza2/journey-to-the-top-10;journey-to-the-top-10;fiorenza2;1500;290;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
abhinand05/predicting-housingprices-simple-approach;predicting-housingprices-simple-approach;abhinand05;700;280;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
janvichokshi/random-forest-xgb-ridge-lasso-all-in-one;random-forest-xgb-ridge-lasso-all-in-one;janvichokshi;1000;270;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
bwboerman/r-data-table-glmnet-xgboost-with-caret;r-data-table-glmnet-xgboost-with-caret;bwboerman;1300;260;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
faressayah/data-science-best-practices-with-pandas-part-1;data-science-best-practices-with-pandas-part-1;faressayah;600;255;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
vikassingh1996/extensive-data-preprocessing-and-modeling;extensive-data-preprocessing-and-modeling;vikassingh1996;1200;250;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
bextuychiev/beautiful-umap-tutorial-on-100-dimensional-data;beautiful-umap-tutorial-on-100-dimensional-data;bextuychiev;900;245;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
eraaz1/a-comprehensive-guide-to-advanced-regression;a-comprehensive-guide-to-advanced-regression;eraaz1;1400;240;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
khashayarrahimi94/gold-price-forecasting-using-lstm-cnn-gru;gold-price-forecasting-using-lstm-cnn-gru;khashayarrahimi94;1100;230;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
serkanpeldek/ev-fiyatlar-n-n-tahmini;ev-fiyatlar-n-n-tahmini;serkanpeldek;800;220;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
lucabasa/houseprice-end-to-end-project;houseprice-end-to-end-project;lucabasa;1600;210;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
hugosjoberg/house-prices-prediction-using-keras;house-prices-prediction-using-keras;hugosjoberg;1000;200;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
bhatnagardaksh/gradient-descent-from-scratch;gradient-descent-from-scratch;bhatnagardaksh;600;195;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
ilyapozdnyakov/house-prices-prediction-pyspark-guide;house-prices-prediction-pyspark-guide;ilyapozdnyakov;1200;190;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
daniilkrasnoproshin/comparison-xgbregressor-vs-ridgecv;comparison-xgbregressor-vs-ridgecv;daniilkrasnoproshin;700;180;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
shilongzhuang/statistical-testing-guide-for-beginners;statistical-testing-guide-for-beginners;shilongzhuang;500;175;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sonalisingh1411/price-prediction-train-test-data-analysis;price-prediction-train-test-data-analysis;sonalisingh1411;800;170;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
adibouayjan/house-price-step-by-step-modeling;house-price-step-by-step-modeling;adibouayjan;1100;160;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
kutlukatalay/house-prices-advanced-models-top-1-lgbm-regressor;house-prices-advanced-models-top-1-lgbm-regressor;kutlukatalay;2500;150;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
lasmith/house-price-regression-with-lightgbm;house-price-regression-with-lightgbm;lasmith;900;140;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
hamzaben/eda-feature-eng-and-model-blending-top-20;eda-feature-eng-and-model-blending-top-20;hamzaben;1800;130;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
nareshbhat/starter-guide-to-build-nlp-ml-model-in-pycaret;starter-guide-to-build-nlp-ml-model-in-pycaret;nareshbhat;1000;125;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
dfitzgerald3/randomforestregressor;randomforestregressor;dfitzgerald3;600;120;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
lavanyashukla01/getting-started-with-kaggle-explore-the-dataset;getting-started-with-kaggle-explore-the-dataset;lavanyashukla01;400;110;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
bextuychiev/25-pandas-functions-you-didn-t-know-existed;25-pandas-functions-you-didn-t-know-existed;bextuychiev;300;105;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
shweta2407/house-prices-regression-predictive-analysis;house-prices-regression-predictive-analysis;shweta2407;1100;100;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ohseokkim/house-prices-are-you-a-real-estate-agent;house-prices-are-you-a-real-estate-agent;ohseokkim;1300;90;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
arootda/eda-fe-stacking-for-beginner-top-4;eda-fe-stacking-for-beginner-top-4;arootda;1600;80;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
samsonqian/predicting-house-prices-with-regression;predicting-house-prices-with-regression;samsonqian;800;70;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
desalegngeb/a-short-tutorial-in-r-easy-start;a-short-tutorial-in-r-easy-start;desalegngeb;300;65;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
nareshbhat/eda-within-snap-of-fingers;eda-within-snap-of-fingers;nareshbhat;200;60;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
datafan07/beginner-eda-with-feature-eng-and-blending-models;beginner-eda-with-feature-eng-and-blending-models;datafan07;1400;50;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
josh24990/simple-stacking-approach-top-12-score;simple-stacking-approach-top-12-score;josh24990;1200;40;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
